Time,RecordID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
133,228534,0.06,-0.13,0.35,0,0,0,0.28,0.17,0.05,-0.09,0.18,-0.07
134,228535,-0.32,0.01,0.04,0,0,0,0.07,0.01,-0.05,-0.16,0.19,-0.03
137,228536,-0.18,-0.11,0.21,0,0,0,0.06,0.13,0.33,-0.22,0.03,-0.2
141,228550,0.03,-0.02,-0.3,0,0,0,-0.01,0.1,0.01,0.12,-0.16,-0.11
143,228551,0.24,-0.1,0.1,0,0,0,0.08,-0.05,-0.11,0.1,-0.03,0.12
145,228552,0.14,-0.08,-0.16,0,0,0,0.18,0.01,-0.14,0.06,-0.11,0.07
148,228553,0.14,0.09,-0.11,0,0,0,0.14,0.1,-0.03,-0.05,-0.24,-0.14
150,228554,-0.03,-0.09,-0.22,0,0,0,0.08,-0.15,-0.29,-0.05,-0.09,-0.05
152,228555,0.23,0.04,0.34,0,0,0,0.19,-0.06,0.07,-0.07,-0.09,0.3
156,228556,-0.12,0.24,-0.6,0,0,0,0.22,-0.11,-0.1,0.15,0.03,0.21
158,228557,0.07,-0.06,-0.62,0,0,0,0.22,0.08,0,-0.23,-0.18,0.12
161,228558,-0.24,0.18,-0.08,0,0,0,0.22,-0.04,-0.11,0.03,-0.16,0.02
163,228559,0.11,0.03,-0.14,0,0,0,0.03,0,-0.19,-0.13,-0.04,0.18
166,228560,0.02,0.04,-0.13,0,0,0,0.16,0.09,0.07,-0.13,-0.27,-0.05
216,228561,-0.11,-0.02,-0.02,0,0,0,-0.03,0.03,-0.09,0.07,0.06,0.1
218,228562,-0.08,0.01,-0.15,0,0,0,0.06,0.19,0,0.07,0.06,0.24
221,228563,-0.22,-0.12,-0.3,0,0,0,-0.02,0.09,0.08,-0.41,0.26,0.03
224,228564,0,0.01,0.18,0,0,0,0.06,0.05,0.09,0.02,0.22,0.34
225,228565,-0.03,-0.09,0.12,0,0,0,-0.07,0.08,-0.06,-0.05,0.11,-0.05
229,228566,-0.06,0.09,0,0,0,0,0.13,-0.01,0.07,-0.14,0.1,0.01
232,228567,-0.24,0,0.18,0,0,0,-0.06,-0.15,-0.2,0.11,-0.04,-0.02
234,228568,-0.22,0.18,0.1,0,0,0,-0.01,-0.08,0.39,0.01,0.05,0.19
237,228569,-0.31,-0.15,-0.1,0,0,0,0.21,0.18,0.35,-0.18,0.08,-0.23
