Time,RecordID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
127,320753,-0.15,0.15,-0.29,0,0,0,0.27,-0.06,-0.41,0.14,-0.02,0.03
128,320755,0.28,0.16,0.42,0,0,0,0.17,0,-0.27,-1.23,0.79,-1.49
173,320773,-0.53,-0.11,-0.01,0,0,0,0.47,0.23,-0.06,-0.29,0.41,0.31
175,320774,-0.33,-0.02,0.08,0,0,0,0.07,0.05,-0.12,0.23,0.33,0.1
178,320775,0.42,-0.02,0.4,0,0,0,0.07,-0.24,-0.44,-0.11,0.23,-0.27
180,320776,-0.25,0.18,0.43,0,0,0,-0.36,-0.22,-0.11,-0.37,0.44,0.11
183,320777,0.49,-0.28,-0.07,0,0,0,0.15,0.26,-0.21,-0.02,0.25,0.32
185,320778,-0.72,-0.16,-0.03,0,0,0,-0.39,0.03,-0.11,-0.1,0.25,-0.12
188,320779,-0.54,-0.11,0,0,0,0,0,0.27,-0.29,0.22,0.02,0.38
191,320780,0.85,-0.13,0.29,0,0,0,0.05,0.03,-0.18,-0.32,-0.06,0.3
193,320781,-0.88,-0.08,0.29,0,0,0,0,0.03,-0.04,-0.39,0.23,0.25
196,320782,0.37,-0.11,0.88,0,0,0,0.39,0.21,-0.26,0.18,0.16,0.33
247,320783,0.38,0.01,-0.13,0,0,0,0.12,0.16,-0.13,-0.03,-0.12,0.14
249,320784,-0.62,0.08,-0.16,0,0,0,-0.13,-0.03,0.16,0.1,-0.14,-0.27
250,320785,0.31,-0.2,-0.3,0,0,0,-0.32,-0.02,-0.07,0.26,-0.06,-0.36
253,320786,0.23,-0.11,-0.22,0,0,0,-0.37,-0.05,0.11,0.63,-0.03,-0.19
256,320787,-0.5,-0.06,-0.06,0,0,0,0.28,0.13,-0.09,-0.26,-0.06,0.06
258,320788,-0.03,-0.2,0.07,0,0,0,0.41,0.17,-0.18,0.04,0.04,0.33
261,320789,0.51,-0.14,-0.03,0,0,0,-0.24,-0.01,-0.09,-0.28,-0.07,-0.32
264,320790,0.19,-0.08,-0.22,0,0,0,-0.53,-0.12,-0.31,-0.09,0.02,-0.43
266,320791,-0.08,0.05,0.02,0,0,0,0.28,0.1,-0.07,0.76,0.04,-0.35
269,320792,-0.78,-0.18,-0.27,0,0,0,0.03,0.08,-0.19,0.09,-0.1,-0.59
319,320793,0.04,0.15,-0.03,0,0,0,-0.22,-0.15,0.19,0.61,0.12,-0.22
321,320794,-0.37,0.18,-0.16,0,0,0,-0.08,0,0.17,-0.24,0.33,0.21
324,320795,0.37,0.12,0.1,0,0,0,0.45,0.01,0.03,-0.17,0.05,0.18
327,320796,0.31,0.2,0.08,0,0,0,0.04,-0.04,0.05,0.05,-0.01,0.21
330,320797,0.1,-0.15,0,0,0,0,-0.03,-0.01,0.22,-0.09,0.02,0.23
332,320798,0.12,0.13,-0.16,0,0,0,-0.01,-0.27,0.15,0.35,-0.06,0.19
334,320799,-0.44,0.1,-0.12,0,0,0,-0.28,-0.27,-0.04,-0.3,-0.04,0.14
337,320800,0.01,0,0.04,0,0,0,-0.32,0.12,0.13,-0.14,-0.11,0.16
339,320801,0.45,0.01,0.24,0,0,0,0.27,0.07,-0.02,-0.3,-0.01,0.11
342,320802,-0.15,0.15,0.06,0,0,0,0.02,-0.19,-0.21,-0.11,-0.12,0.16
393,320803,0.07,-0.25,0.11,0,0,0,0.36,0.31,-0.12,-0.36,-0.03,-0.08
394,320804,0.32,-0.17,0.04,0,0,0,-0.3,0.01,-0.13,-0.11,0.08,-0.27
397,320805,-0.06,0.02,-0.08,0,0,0,-0.17,-0.01,-0.05,-0.28,-0.22,-0.28
400,320806,-0.55,-0.06,-0.25,0,0,0,0.11,0.13,-0.03,0.15,-0.08,-0.31
402,320807,-0.23,-0.18,-0.29,0,0,0,0.19,0.04,0.07,0.52,-0.2,-0.63
405,320808,0,-0.1,-0.14,0,0,0,-0.21,0.04,0.09,-0.66,-0.03,-0.14
408,320809,0.39,-0.01,-0.01,0,0,0,-0.5,-0.16,0.06,0.02,-0.08,0.27
411,320810,0.33,0.04,-0.13,0,0,0,-0.01,0.06,0.11,-0.49,-0.04,0.16
413,320811,-0.35,-0.16,-0.36,0,0,0,-0.12,0.08,-0.03,0.28,-0.13,0.03
415,320812,-0.12,-0.08,-0.33,0,0,0,0.12,0.14,0.02,0.47,-0.06,0.16
418,320813,-0.24,-0.16,-0.16,0,0,0,-0.12,0.11,0.03,0.11,-0.23,0.2
469,320814,0.53,-0.01,0.3,0,0,0,0.04,-0.04,-0.21,-0.22,-0.1,-0.2
470,320815,0.38,-0.11,0.35,0,0,0,-0.2,-0.01,-0.23,-0.16,0.16,-0.06
473,320816,0.13,0.08,0.22,0,0,0,0.02,-0.01,0.01,-0.04,0.28,0.09
476,320817,0.29,-0.04,0.19,0,0,0,0.05,-0.01,0.23,0.34,-0.07,-0.05
478,320818,-0.82,-0.03,0.06,0,0,0,-0.39,-0.01,0.21,0.25,0.02,-0.22
481,320819,0.26,-0.04,0.08,0,0,0,0.28,0.14,-0.11,0.15,0.08,-0.29
484,320820,0.5,0.01,0.29,0,0,0,0.07,-0.2,0.05,-0.02,0.06,-0.04
486,320821,0.34,0.18,0.42,0,0,0,-0.2,-0.38,0.24,-0.36,0.17,-0.55
489,320822,0.35,0.16,-0.07,0,0,0,0.2,-0.06,-0.11,0.27,0.01,-0.05
492,320823,-0.21,0.05,-0.25,0,0,0,0.03,-0.01,0.07,0.68,-0.05,-0.12
542,320824,0.65,-0.29,0.09,0,0,0,0.06,0.09,0.01,0.01,0.02,0.15
544,320825,0.24,-0.15,-0.38,0,0,0,-0.05,0.04,-0.09,0.02,-0.02,0.1
546,320826,-0.59,0.11,-0.28,0,0,0,0.21,-0.01,-0.08,-0.03,-0.24,0.01
549,320827,-0.36,0.09,-0.26,0,0,0,0.26,0.12,0.03,0.15,-0.09,0.13
551,320828,0.26,-0.06,-0.07,0,0,0,-0.32,-0.14,0.16,0.06,-0.07,0.7
554,320829,-0.08,-0.11,0.26,0,0,0,-0.21,0.2,0.25,-0.7,0.08,0.5
557,320830,-0.04,-0.22,0.38,0,0,0,0.42,0.42,-0.07,-0.22,-0.03,0.36
560,320831,0.51,-0.25,-0.28,0,0,0,-0.32,0.04,-0.14,-0.18,0.04,-0.25
562,320832,-0.09,0.17,-0.45,0,0,0,-0.37,-0.23,-0.09,0.27,-0.04,-0.27
616,320834,1.18,-0.01,0.42,0,0,0,0.13,0.12,-0.07,0.08,0.02,0.15
617,320835,0.92,-0.13,-0.02,0,0,0,0.17,-0.03,-0.02,-0.26,-0.08,0.04
619,320836,-0.94,0.02,-0.29,0,0,0,0.09,0.01,-0.33,0.1,-0.01,-0.14
622,320837,1.04,-0.04,0.07,0,0,0,0.79,0.14,-0.11,0.82,-0.1,0.1
625,320838,-0.96,-0.06,-0.05,0,0,0,-0.19,-0.04,-0.09,-0.06,-0.25,0.04
628,320839,-0.23,0.02,0.08,0,0,0,-0.28,-0.1,0.48,-0.01,-0.11,0.1
630,320840,1.65,-0.06,0.53,0,0,0,0.22,0.24,0.11,-0.48,-0.11,-0.31
633,320841,-0.15,0,0.17,0,0,0,-1.24,-0.36,0.45,-0.02,-0.3,-0.43
636,320842,-0.06,0.09,0.09,0,0,0,-0.27,0.39,0.23,0.28,-0.18,-0.07
638,320843,-0.24,0,0.16,0,0,0,0.95,0.14,0.27,0.65,0.06,0.16
688,320844,0.75,-0.01,0.45,0,0,0,-0.21,-0.09,-0.06,-0.16,0.11,0.36
690,320845,-1.04,-0.11,-0.21,0,0,0,-0.48,-0.27,-0.03,-0.18,0.22,-0.06
693,320846,0.01,-0.12,-0.13,0,0,0,0.63,0.33,-0.05,0.48,0.02,-0.24
696,320847,0.24,-0.06,0.07,0,0,0,0.2,0.17,-0.17,0.18,-0.18,-0.23
698,320848,-0.97,-0.11,-0.21,0,0,0,-0.63,-0.18,0.09,-0.19,0.01,-0.29
701,320849,0.53,-0.04,0.06,0,0,0,0.39,0.15,-0.08,-0.23,0.11,-0.07
704,320850,0.96,-0.06,0.36,0,0,0,-0.38,-0.15,0.04,0.15,0.24,-0.02
706,320851,-0.75,0.13,-0.23,0,0,0,-0.79,-0.19,0.08,-0.58,0.11,-0.04
708,320852,-0.38,-0.13,-0.14,0,0,0,0.79,0.36,-0.03,0.79,0.05,0.15
711,320853,0.41,-0.1,-0.06,0,0,0,0.28,0.27,-0.13,-0.39,-0.15,0.35
762,320854,-0.58,0.04,-0.28,0,0,0,0.39,0.33,0.01,-0.15,-0.26,0.19
763,320855,-0.09,-0.09,-0.14,0,0,0,0.19,0.05,-0.02,-0.16,-0.14,0.14
766,320856,-0.07,-0.01,0.2,0,0,0,-0.04,0.01,0.11,-0.07,0,0.47
772,320858,0.14,0.05,0.22,0,0,0,-0.07,0.14,0.25,-0.1,0.2,-0.04
773,320859,0.21,-0.12,0.08,0,0,0,-0.05,-0.03,0.05,-0.27,0.03,-0.37
776,320860,0.3,-0.29,-0.33,0,0,0,-0.22,0.24,0.2,0.47,-0.1,-0.54
